"Time stamp","System power generated | (kW)"
"1",-0.0162711
"2",-0.0162711
"3",-0.0162711
"4",-0.0162711
"5",-0.0162711
"6",-0.0162711
"7",-0.0162711
"8",63.2125
"9",97.7557
"10",138.505
"11",150.26
"12",106.254
"13",51.2698
"14",11.8764
"15",13.4084
"16",3.6423
"17",-0.0162711
"18",-0.0162711
"19",-0.0162711
"20",-0.0162711
"21",-0.0162711
"22",-0.0162711
"23",-0.0162711
"24",-0.0162711
"25",-0.0162711
"26",-0.0162711
"27",-0.0162711
"28",-0.0162711
"29",-0.0162711
"30",-0.0162711
"31",-0.0162711
"32",62.2386
"33",116.429
"34",135.685
"35",146.518
"36",109.005
"37",57.9161
"38",29.1986
"39",7.12575
"40",11.0322
"41",-0.0162711
"42",-0.0162711
"43",-0.0162711
"44",-0.0162711
"45",-0.0162711
"46",-0.0162711
"47",-0.0162711
"48",-0.0162711
"49",-0.0162711
"50",-0.0162711
"51",-0.0162711
"52",-0.0162711
"53",-0.0162711
"54",-0.0162711
"55",-0.0162711
"56",50.3993
"57",84.5063
"58",64.8872
"59",116.875
"60",157.293
"61",106.946
"62",54.5746
"63",2.19536
"64",0.677853
"65",-0.0162711
"66",-0.0162711
"67",-0.0162711
"68",-0.0162711
"69",-0.0162711
"70",-0.0162711
"71",-0.0162711
"72",-0.0162711
"73",-0.0162711
"74",-0.0162711
"75",-0.0162711
"76",-0.0162711
"77",-0.0162711
"78",-0.0162711
"79",-0.0162711
"80",56.7385
"81",103.535
"82",121.142
"83",103.92
"84",136.567
"85",181.991
"86",168.174
"87",136.708
"88",6.68932
"89",-0.0162711
"90",-0.0162711
"91",-0.0162711
"92",-0.0162711
"93",-0.0162711
"94",-0.0162711
"95",-0.0162711
"96",-0.0162711
"97",-0.0162711
"98",-0.0162711
"99",-0.0162711
"100",-0.0162711
"101",-0.0162711
"102",-0.0162711
"103",-0.0162711
"104",38.2212
"105",101.792
"106",129.659
"107",141.403
"108",129.046
"109",115.121
"110",114.174
"111",134.947
"112",22.0919
"113",-0.0162711
"114",-0.0162711
"115",-0.0162711
"116",-0.0162711
"117",-0.0162711
"118",-0.0162711
"119",-0.0162711
"120",-0.0162711
"121",-0.0162711
"122",-0.0162711
"123",-0.0162711
"124",-0.0162711
"125",-0.0162711
"126",-0.0162711
"127",-0.0162711
"128",49.9933
"129",50.8585
"130",146.113
"131",133.817
"132",59.9599
"133",41.966
"134",36.7247
"135",56.359
"136",28.0699
"137",-0.0162711
"138",-0.0162711
"139",-0.0162711
"140",-0.0162711
"141",-0.0162711
"142",-0.0162711
"143",-0.0162711
"144",-0.0162711
"145",-0.0162711
"146",-0.0162711
"147",-0.0162711
"148",-0.0162711
"149",-0.0162711
"150",-0.0162711
"151",-0.0162711
"152",51.7732
"153",103.927
"154",107.853
"155",152.919
"156",150.869
"157",179.166
"158",97.6355
"159",15.5954
"160",0.120623
"161",-0.0162711
"162",-0.0162711
"163",-0.0162711
"164",-0.0162711
"165",-0.0162711
"166",-0.0162711
"167",-0.0162711
"168",-0.0162711
"169",-0.0162711
"170",-0.0162711
"171",-0.0162711
"172",-0.0162711
"173",-0.0162711
"174",-0.0162711
"175",-0.0162711
"176",54.715
"177",54.4914
"178",135.828
"179",77.519
"180",133.296
"181",94.1571
"182",100.947
"183",23.6604
"184",3.43576
"185",-0.0162711
"186",-0.0162711
"187",-0.0162711
"188",-0.0162711
"189",-0.0162711
"190",-0.0162711
"191",-0.0162711
"192",-0.0162711
"193",-0.0162711
"194",-0.0162711
"195",-0.0162711
"196",-0.0162711
"197",-0.0162711
"198",-0.0162711
"199",-0.0162711
"200",57.0857
"201",91.1927
"202",137.119
"203",138.486
"204",88.2184
"205",39.9377
"206",76.7674
"207",13.7355
"208",14.4679
"209",-0.0162711
"210",-0.0162711
"211",-0.0162711
"212",-0.0162711
"213",-0.0162711
"214",-0.0162711
"215",-0.0162711
"216",-0.0162711
"217",-0.0162711
"218",-0.0162711
"219",-0.0162711
"220",-0.0162711
"221",-0.0162711
"222",-0.0162711
"223",-0.0162711
"224",43.5473
"225",106.453
"226",96.5051
"227",146.014
"228",164.359
"229",149.465
"230",56.1972
"231",36.3086
"232",3.45591
"233",-0.0162711
